question,correct_answer,predicted_answer,is_correct,groundtruth_rationale,generated_rationale,gen_rationale_distinct_pieces,image_path,sentence_fidelity_scores,sentence_fidelity_reasons
"In which country is this bus located? Choices: uk, cuba, usa, mexico",uk,Uk,1,"['Most double decker buses designed like this are traditionally found in the uk.', 'This is a double decker bus used in london', 'England is known for its double-decker buses.']","The reasoning behind my answer is that the bus is a red double-decker bus, which is a common mode of transportation in the United Kingdom. Double-decker buses are iconic to the UK and are not commonly seen in other countries. Additionally, the presence of people boarding and alighting from the bus, as well as the street scene, further supports the notion that this bus is located in the UK.","['The bus is a red double-decker bus, which is a common mode of transportation in the United Kingdom.', 'Double-decker buses are iconic to the UK and are not commonly seen in other countries.', 'The presence of people boarding and alighting from the bus, as well as the street scene, further supports the notion that this bus is located in the UK.']",../results/img/12.jpg,"[1, 0, 1]","['The sentence is talking about something that is directly present in the image.', 'The sentence describes general knowledge about double-decker buses and their association with the UK. While a double-decker bus is present in the image, the statement about their iconic status and commonality in other countries is not something that can be directly assessed from the image alone.', 'The sentence is talking about something that is directly present in the image.']"
"When did the namesake of this theater die? Choices: 1998, 2009, 2015, 2020",2009,2015,0,"['Looks to be in 2009 or so.', 'He died in 2009', 'The person whose name is behind the theater died in 2009.']","The namesake of the theater, Ricardo Montalbán, died in 2009. Therefore, the answer to the question is 2009, not 1998, 2015, or 2020. The reasoning behind this answer is based on the fact that the theater is named after Ricardo Montalbán, and he passed away in 2009.","['The namesake of the theater, Ricardo Montalbán, died in 2009.', 'The answer to the question is 2009, not 1998, 2015, or 2020.', 'The theater is named after Ricardo Montalbán, and he passed away in 2009.']",../results/img/13.jpg,"[-1, -1, 1]","['The sentence mentions the namesake of the theater, Ricardo Montalbán, and his death in 2009, which is not directly depicted or verifiable in the image. The image only shows the exterior of a theater with the name ""Ricardo Montalbán"" on it, but it does not provide information about his death.', 'The sentence describes something that is incorrect or contrary to the visual content of the image. The image depicts a person on a motorcycle and a theater in the background, but there is no reference to the years 2009, 1998, 2015, or 2020.', 'The sentence is talking about something that is directly present in the image.']"
"What kind of computer is near the woman in blue? Choices: acer, macintosh, hp, dell",macintosh,Acer,0,"['The computer is a mac.', 'You can see the little apple in the center.', 'One can see the apple logo on the computer near her.']","The reasoning behind my answer is that the computer near the woman in blue is an Acer computer. This can be inferred from the image description, which states that the woman is playing a video game on an Acer computer. Acer is a well-known computer manufacturer, and it is likely that the computer in the image is an Acer product.","['The computer near the woman in blue is an Acer computer.', 'This can be inferred from the image description, which states that the woman is playing a video game on an Acer computer.', 'Acer is a well-known computer manufacturer.', 'It is likely that the computer in the image is an Acer product.']",../results/img/16.jpg,"[-1, -1, 0, -1]","['The sentence describes something that is incorrect or contrary to the visual content of the image. The woman is near computers that clearly show the Apple logo, not Acer.', 'The sentence is incorrect relative to the image content. The monitor shown in the image does not appear to be an Acer computer; it looks like an Apple iMac.', 'The sentence mentions an event or information that may be common knowledge but is not directly depicted in the image. The image does not show anything related to Acer or its status as a computer manufacturer.', 'The sentence describes something that is incorrect or contrary to the visual content of the image. The computers in the image display the Apple logo, not Acer.']"
"Which object is in the greatest danger? Choices: bus, motorcyclist, blue car, cyclist",cyclist,Bus,0,"['The water is very deep for the bike.', 'The person on the bicycle might get splashed by water.', 'The cyclist is most likely to have problems because of the rain.']","The object in the greatest danger is the bus. In the image, the bus is driving through a flooded street, which poses a significant risk to the vehicle and its occupants. The flooded road can cause the bus to lose traction, making it difficult to maintain control and increasing the likelihood of accidents. Additionally, the floodwater can damage the bus's mechanical components and electrical systems, potentially leading to malfunctions or breakdowns. Furthermore, the flood","['The bus is driving through a flooded street.', 'The flooded road can cause the bus to lose traction, making it difficult to maintain control and increasing the likelihood of accidents.', ""The floodwater can damage the bus's mechanical components and electrical systems, potentially leading to malfunctions or breakdowns.""]",../results/img/22.jpg,"[1, 1, 0]","['The sentence is talking about something that is directly present in the image. The bus is indeed driving through a flooded street.', 'The sentence is talking about something that is directly present in the image.', ""The sentence mentions potential damage to the bus's mechanical components and electrical systems due to floodwater. While the image shows a bus driving through floodwater, the sentence talks about events that may happen rather than what is directly depicted in the image.""]"
"What type of race is this? Choices: sheep racing, horse racing, cat racing, dog racing",horse racing,Horse racing,1,"['Of the options only answer a is visible. if the other answers were viable there would likely be one of those animals present or represented in imagery.', 'The woman is sitting on a horse and none of the other animals are visible so it would have to be a horse race', 'This is a competition for horses.']","The image depicts a group of women standing next to a brown horse, which is wearing a saddle. This suggests that the scene is related to horse racing, as the women are likely jockeys or trainers, and the presence of the saddle indicates that the horse is being prepared for a race. Sheep racing, cat racing, and dog racing are not typically associated with horse racing, which is the most plausible answer based on the visual content of the image","['The image depicts a group of women standing next to a brown horse, which is wearing a saddle.', 'The women are likely jockeys or trainers.', 'The presence of the saddle indicates that the horse is being prepared for a race.', 'Sheep racing, cat racing, and dog racing are not typically associated with horse racing, which is the most plausible answer based on the visual content of the image.']",../results/img/23.jpg,"[1, 0, 0, 1]","['The sentence is talking about something that is directly present in the image.', 'The sentence infers that the women are likely jockeys or trainers, which makes sense given the context of a horse and an equestrian event, but the image itself does not provide explicit evidence that confirms their exact roles as jockeys or trainers.', 'The sentence mentions that the saddle indicates the horse is being prepared for a race. In the image, there is a person on horseback, and the horse has a saddle, but it is not clear that this is a preparation for a race. The scene appears to be one of a competition or show rather than specifically preparing for a race.', 'The sentence is talking about something that is **directly** present in the image.\n\nThe image clearly depicts a horse and individuals who are seemingly in a horse riding or equestrian setting, making horse racing the most plausible and directly associated activity from the mentioned types of racing.']"
"What period of the day is depicted in the photo? Choices: morning, night, evening, afternoon",morning,Afternoon,0,"[""The sun is out and so it's during the day."", 'There is sunlight.', 'According to the clock it is almost 11:30. it is not dark outside so it is day time, but it is not quite noon yet.']","The photo depicts the afternoon period of the day. This can be inferred from the presence of people walking around and engaging in various activities, such as carrying handbags, backpacks, and suitcases. Additionally, there is a clock visible in the image, which suggests that the photo was taken during a time of day when people are more likely to be out and about, such as the afternoon. The combination of these visual cues supports the conclusion that the photo was taken","['People are walking around and engaging in various activities.', 'People are carrying handbags, backpacks, and suitcases.', 'There is a clock visible in the image.', 'People are more likely to be out and about.']",../results/img/24.jpg,"[1, 1, 1, 0]","['The sentence is talking about something that is directly present in the image. There are people visible in the image who are walking around and engaging in various activities.', 'The sentence is talking about something that is directly present in the image. People are visibly carrying handbags and backpacks in the image.', 'The sentence is talking about something that is directly present in the image. The clock is visible in the image.', 'The sentence mentions a general scenario that people are likely to be outside, but the image does not directly depict this likelihood or show an unusually large number of people out and about. It shows a street scene with some people present, but it does not specifically confirm the statement about the likelihood of people being out and about.']"
"What is the cat growling at? Choices: kittens, mirror, other car, passenger",mirror,Other car,0,"['The cat is seated on the dashboard of the car an is looking at is reflection.', 'The cat is growling at the mirror.', 'The cat sees himself in the mirror.']","The cat is growling at the other car, not the passenger or the kittens. This is likely because the cat perceives the other car as a threat or an intrusion into its territory. Cats are territorial animals, and when they feel threatened, they may display aggressive behavior, such as growling or hissing. In this case, the cat's growling at the other car suggests that it is trying to assert its dominance or protect its space.","['The cat is growling at the other car, not the passenger or the kittens.', 'This is likely because the cat perceives the other car as a threat or an intrusion into its territory.', 'Cats are territorial animals, and when they feel threatened, they may display aggressive behavior, such as growling or hissing.', ""In this case, the cat's growling at the other car suggests that it is trying to assert its dominance or protect its space.""]",../results/img/25.jpg,"[-1, -1, 0, -1]","['The sentence describes something that is incorrect or contrary to the visual content of the image. In the image, there is a cat inside a car on the dashboard, but there is no indication of the cat growling or any other car, passenger, or kittens present.', 'The sentence describes a scenario where a cat perceives another car as a threat or intrusion into its territory, but the image shows a cat inside a car with no indication of another car present. Thus, the sentence is contrary to the visual content of the image.', 'The sentence mentions that cats are territorial and may display aggressive behavior when threatened, which makes sense but is not directly depicted in the image. The image shows a cat inside a car, but there is no visible indication of the cat displaying aggressive behavior.', 'The sentence describes a situation where a cat is growling at another cat to assert dominance or protect its space. However, the image shows a cat sitting on the dashboard of a car, looking out the window. There is no visible indication of another cat or any growling happening.']"
"What sort of building is seen behind this amusement? Choices: school, barn, cafe, financial",financial,Financial,1,"['A bank logo is on the side of a bank.', 'Ubs is a bank.', 'Ubs is a well known bank. one can see its logo on the building.']","The reasoning behind my answer is that the building seen behind the amusement is a financial building. This can be inferred from the presence of a surfboard in the image, which suggests that the amusement is related to water sports or recreational activities. Financial buildings, such as banks or investment firms, are not typically associated with water sports or recreational activities. Therefore, it is more likely that the building behind the amusement is a financial building rather than a school,","['A surfboard is present in the image.', 'The amusement is related to water sports or recreational activities.', 'Financial buildings, such as banks or investment firms, are not typically associated with water sports or recreational activities.']",../results/img/26.jpg,"[1, 1, 0]","['The sentence is talking about something that is directly present in the image. The image shows a surfboard being used by a person.', 'The sentence is talking about something that is directly present in the image. The image shows people engaging in an artificial surfing activity, which is related to water sports or recreational activities.', 'The sentence mentions a general statement about the typical association of financial buildings with water sports or recreational activities, but it does not describe something directly shown in the image. The image illustrates a scenario where water sports are happening near a financial building, challenging the typical association mentioned in the sentence but not contrary to it.']"
"What do these pilots hope for? Choices: higher wages, free peanuts, better views, wings",higher wages,Higher wages,1,"['The pilots feel they are underpaid and are picketing.', 'Pilots are holding signs about asking about what a pilot is worth. they are talking about salary.', 'The signs mention ""worth"" and the other options aren\'t nearly as important as the money they earn.']","The pilots in the image are protesting for higher wages, as indicated by the signs they are holding. This demonstrates that they are seeking better compensation for their work, which is a common goal for employees in various industries, including aviation. It is reasonable to assume that the pilots hope for higher wages to improve their financial well-being and quality of life.","['The pilots in the image are protesting for higher wages, as indicated by the signs they are holding.', 'This demonstrates that they are seeking better compensation for their work, which is a common goal for employees in various industries, including aviation.', 'It is reasonable to assume that the pilots hope for higher wages to improve their financial well-being and quality of life.']",../results/img/27.jpg,"[1, 1, 0]","['The sentence is talking about something that is directly present in the image. The pilots in the image are holding signs, and they are protesting, which is evident from their expressions and the content of the signs.', 'The sentence is talking about something that is directly present in the image. \n\nThe image shows what appears to be a protest with individuals holding signs related to their work and compensation. The mention of seeking better compensation in various industries, including aviation, directly relates to the content of the image, which includes people in pilot uniforms holding signs about their work.', 'The sentence mentions a reasonable assumption about pilots hoping for higher wages, which is not directly depicted in the image. The image shows a group of pilots holding protest signs, but it does not explicitly show their desires for higher wages or improved financial well-being.']"
"What is the name of this dog breed? Choices: poodles, retriever, bulldog, pomeranian",poodles,Poodle,0,"['The breed is a poodle.', 'The dog is very fluffy.', 'It looks like a terrier but has the size and color of some poodles.']","The dog in the image is a poodle. Poodles are a breed of dog known for their intelligence, loyalty, and ability to adapt to various environments. They come in three sizes: standard, miniature, and toy. The poodle in the image appears to be a small-sized poodle. Poodles are often used as service dogs, therapy dogs, and even as guide dogs for the visually impaired. They are also","['Poodles are a breed of dog known for their intelligence, loyalty, and ability to adapt to various environments.', 'They come in three sizes: standard, miniature, and toy.', 'Poodles are often used as service dogs, therapy dogs, and even as guide dogs for the visually impaired.']",../results/img/28.jpg,"[0, 0, -1]","['The sentence discusses characteristics of poodles, but there is no direct depiction or identification of a poodle in the image. The image shows a boy holding a small dog, but the breed of the dog cannot be confirmed solely based on the image.', 'The sentence mentions different sizes (standard, miniature, and toy), which may be related to the dog shown in the image. However, the specific sizes mentioned in the sentence are not directly depicted in the image.', 'The sentence talks about poodles, while the dog in the image does not appear to be a poodle.']"
"Which direction is this meter pointing towards? Choices: left, down, right, up",right,Right,1,"['A meter has an arrow on it that points to the right.', 'The arrow points right.', 'A meter has an arrow on it that points in one direction.']","The reasoning behind my answer is that the parking meter is pointing towards the right, which indicates that the car should be parked in that direction. The arrow on the meter is pointing towards the right, which is the correct direction for the car to be parked. It is important to follow the directions provided by the parking meter to ensure that the car is parked in the correct spot and does not violate any parking regulations.","['The car should be parked in that direction.', 'The arrow on the meter is pointing towards the right.', 'It is important to follow the directions provided by the parking meter to ensure that the car is parked in the correct spot and does not violate any parking regulations.']",../results/img/29.jpg,"[0, -1, 0]","['The sentence implies a direction for parking, which relates to the image showing a parking meter with a directional arrow, but it does not directly depict the act of parking a car or a specific direction in the context described.', 'The sentence describes something that is incorrect or contrary to the visual content of the image. The arrow on the meter is pointing towards the left, not the right.', 'The sentence mentions the importance of following parking meter directions to avoid parking violations. While the image does show a parking meter, it does not directly depict any actions or directions provided by the meter or ensure correct parking.']"
"Which team won this sport's championship in 2019? Choices: calgary cannons, washington nationals, seattle mariners, toronto jays",washington nationals,Washington Nationals,1,"['Washington nationals won.', 'That is the team that won in 2019.', 'The washington nationals took this title.']",The Washington Nationals won the championship in 2019.,[],../results/img/30.jpg,[],[]
"What number comes after the number on the top of the bus? Choices: 19, 52, 23, ten",ten,Ten,1,"['The number is 9.', 'The number on top of the bus is 9 so the next consecutive number was chosen.', 'When you count 1-10, the bus number is right before 10']","The number that comes after the number on the top of the bus is 10. The reasoning behind this answer is that the number on the top of the bus is 10, and the number that comes after it is 10. This is because the number 10 is the first number that comes after the number 10 on the top of the bus. The other choices, 19, 52, and 23, do not come after the number","['The reasoning behind this answer is that the number on the top of the bus is 10.', 'The other choices, 19, 52, and 23, do not come after the number.']",../results/img/32.jpg,"[-1, 1]","['The sentence describes something that is incorrect or contrary to the visual content of the image. The number on the top of the bus is 9, not 10.', 'The sentence is talking about something that is directly present in the image.']"
"What time of the day are people exploring the beach? Choices: mixed tide, spring tide, high tide, low tide",low tide,Low tide,1,"['The tide is far out and you can see a lot of sand.', 'The water has receded and you can see puddles of water that have been left as the tide went out.', 'The ocean is not very high. it is easy to see the sand.']","People are exploring the beach during low tide, as indicated by the image. During low tide, the water recedes, exposing more of the shoreline and making it easier for people to walk along the beach without getting their feet wet. This creates a more enjoyable and accessible environment for beachgoers to engage in various activities, such as surfing, sunbathing, or simply strolling along the shoreline.","['During low tide, the water recedes, exposing more of the shoreline and making it easier for people to walk along the beach without getting their feet wet.', 'This creates a more enjoyable and accessible environment for beachgoers to engage in various activities, such as surfing, sunbathing, or simply strolling along the shoreline.']",../results/img/34.jpg,"[1, 1]","['The sentence is talking about something that is directly present in the image. The image shows people walking along a shoreline with considerable beach area exposed, which suggests it is low tide.', 'The sentence is talking about something that is **directly** present in the image. People are engaging in various activities at the beach, such as surfing, strolling along the shoreline, and likely sunbathing.']"
"How does this dog's fur feel at this time? Choices: wet, crispy, clean, fluffy",wet,Wet,1,"['The dog is walking outside in the rain and its fur is wet.', 'The dog is running in the rain and has wet fur.', 'It is raining out so his fur will be wet.']","The dog's fur is likely wet due to the presence of water in the image. Since the dog is walking through the water, it is likely that the water has come into contact with the dog's fur, making it wet.","[""The dog's fur is likely wet due to the presence of water in the image."", ""Since the dog is walking through the water, it is likely that the water has come into contact with the dog's fur, making it wet.""]",../results/img/35.jpg,"[0, 0]","[""The sentence mentions that the dog's fur is likely wet due to the presence of water, which is a logical inference given the presence of puddles and the rain, but it is not directly evidenced in the image. The image shows a dog and a person with an umbrella in a rainy setting, but we cannot definitively assess the state of the dog's fur."", 'The sentence mentions events or elements (i.e., the dog walking through water and its fur getting wet) that make common sense but are not directly depicted in the image. The image shows a dog in a rainy area, but there is no clear evidence that the dog is walking through water or that its fur is wet.']"
"The food on the plate that is farthest away from the woman is usually attributed to what country? Choices: italy, germany, russia, india",italy,Italy,1,"['The food is from italy.', 'On the plate described there is a pizza. pizza is a food traditionally associated with answer a.', 'Traditionally pizza is known to be an italian cuisine.']","The food on the plate that is farthest away from the woman is a pizza. Pizza is an Italian dish, which is why it is attributed to Italy. Pizza is a popular dish worldwide, but its origins can be traced back to Naples, Italy, where it was first created in the 18th century. Since then, pizza has become a staple in Italian cuisine and is enjoyed by people all over the world.","['The food on the plate that is farthest away from the woman is a pizza.', 'Pizza is a popular dish worldwide, but its origins can be traced back to Naples, Italy, where it was first created in the 18th century.', 'Since then, pizza has become a staple in Italian cuisine and is enjoyed by people all over the world.']",../results/img/36.jpg,"[1, 0, 0]","['The sentence is talking about something that is directly present in the image. The food on the plate farthest away from the woman is indeed a pizza.', 'The sentence mentions the historical and global popularity of pizza, which is general knowledge. While the image shows a pizza, the historical context and origins are not directly depicted in it.', 'The sentence mentions events or elements that may make common sense but are not directly depicted in the image. The image shows a person with a pizza, but the historical context and global popularity of pizza are not directly shown in the image.']"
"The shade is causing the motorcyclists to turn what on? Choices: windshield wipers, headlights, radio, turning signal",headlights,Turning signal,0,"['The shade is causing the motorcyclists to turn on their headlights because they need to see clearly to ride.', 'One can see that the motorcycle lights are on.', 'There are lights visibly on in the front of each motorcycle. the sun is clearly out but there may be enough shade for them to turn the lights on out of precaution.']","The shade is causing the motorcyclists to turn on their turning signals. Turning signals are used by motorcyclists to communicate their intention to turn or change lanes to other road users, such as cars and pedestrians. By turning on their signals, the motorcyclists are ensuring that other road users are aware of their intentions, reducing the risk of accidents and improving overall road safety.","['Turning signals are used by motorcyclists to communicate their intention to turn or change lanes to other road users, such as cars and pedestrians.', 'By turning on their signals, the motorcyclists are ensuring that other road users are aware of their intentions, reducing the risk of accidents and improving overall road safety.']",../results/img/37.jpg,"[0, -1]","['The sentence mentions turning signals and their use by motorcyclists to communicate with other road users. While the image shows motorcyclists on a road with other vehicles, it does not directly depict the use of turning signals.', 'The sentence mentions that the motorcyclists are turning on their signals to ensure road safety, but the image does not directly show that any of the motorcyclists have their signals on.']"
